shot_id,scene_id,camera,whitebox_path,exists
MSB066,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB066.png,true
MSB067,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB067.png,true
MSB068,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB068.png,true
MSB069,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB069.png,true
MSB070,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB070.png,true
MSB071,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB071.png,true
MSB072,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB072.png,true
MSB073,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB073.png,true
MSB074,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB074.png,true
MSB075,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB075.png,true
MSB076,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB076.png,true
MSB077,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB077.png,true
MSB078,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB078.png,true
MSB079,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB079.png,true
MSB080,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB080.png,true
MSB081,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB081.png,true
MSB082,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB082.png,true
MSB083,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB083.png,true
MSB084,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB084.png,true
MSB085,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB085.png,true
MSB086,SCN_ALLEY,CAM_ALLEY_03_BROTHER_BEATEN,media/01_AIGC/whitebox_renders_v2/B04/WB2_ALLEY_MSB086.png,true
MSB087,SCN_ALLEY,CAM_ALLEY_03_BROTHER_BEATEN,media/01_AIGC/whitebox_renders_v2/B04/WB2_ALLEY_MSB087.png,true
MSB088,SCN_ALLEY,CAM_ALLEY_03_BROTHER_BEATEN,media/01_AIGC/whitebox_renders_v2/B04/WB2_ALLEY_MSB088.png,true
MSB089,SCN_ALLEY,CAM_ALLEY_03_BROTHER_BEATEN,media/01_AIGC/whitebox_renders_v2/B04/WB2_ALLEY_MSB089.png,true
MSB090,SCN_ALLEY,CAM_ALLEY_03_BROTHER_BEATEN,media/01_AIGC/whitebox_renders_v2/B04/WB2_ALLEY_MSB090.png,true
MSB091,SCN_ALLEY,CAM_ALLEY_03_BROTHER_BEATEN,media/01_AIGC/whitebox_renders_v2/B04/WB2_ALLEY_MSB091.png,true
MSB092,SCN_ALLEY,CAM_ALLEY_03_BROTHER_BEATEN,media/01_AIGC/whitebox_renders_v2/B04/WB2_ALLEY_MSB092.png,true
MSB093,SCN_ALLEY,CAM_ALLEY_03_BROTHER_BEATEN,media/01_AIGC/whitebox_renders_v2/B04/WB2_ALLEY_MSB093.png,true
