shot_id,scene_id,asset_type,pure_path,annotated_path,final_storyboard_path,pure_exists,final_exists
MSB019,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB019_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB019_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B01/MSB019_final_storyboard_v002.jpg,true,true
MSB020,SCN_ARCADE,start_frame,media/01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB020_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB020_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B01/MSB020_final_storyboard_v002.jpg,true,true
MSB021,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB021_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB021_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B01/MSB021_final_storyboard_v002.jpg,true,true
MSB022,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB022_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB022_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B01/MSB022_final_storyboard_v002.jpg,true,true
MSB023,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB023_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB023_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B01/MSB023_final_storyboard_v002.jpg,true,true
MSB024,SCN_ARCADE,keyframe,media/01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB024_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB024_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B01/MSB024_final_storyboard_v002.jpg,true,true
MSB025,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB025_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB025_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B01/MSB025_final_storyboard_v002.jpg,true,true
MSB026,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB026_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB026_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B01/MSB026_final_storyboard_v002.jpg,true,true
MSB027,SCN_ARCADE,storyboard,media/01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB027_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB027_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B01/MSB027_final_storyboard_v002.jpg,true,true
MSB028,SCN_ARCADE,end_frame,media/01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB028_v001.png,media/01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB028_v001_annotated.png,media/01_AIGC/final_storyboard_panels/B01/MSB028_final_storyboard_v002.jpg,true,true
